1.603125;1.921875;1.890625;1.446875;0.921875;0.728125;0.93125;1.484375;2.33125;2.984375;2.90625;2.290625;1.75625;1.565625;1.534375;1.446875;1.409375;1.434375;1.6125;1.75;1;0.903125;1.340625;1.928125;1.45625;1.535;1.516875;1.253125;1.0478125;1.175625;1.270625;1.2409375;1.131875;0.953125;1.1125;1.3453125;1.50625;1.3390625;1.434375;1.36875;1.15625;1.225
1.0046875;1.4921875;1.921875;2.796875;4.0234375;3.9734375;2.490625;1.621875;2.16875;2.9375;2.921875;2.209375;1.48125;1.2025;1.16875;1.12875;1.170625;1.251875;1.43125;1.50625;1.61875;1.125;0.9046875;1.6140625;1.9;1.65;1.946875;1.381875;0.80375;1.096875;1.3490625;1.1196875;1.11125;1.134375;1.13125;1.03125;1.36875;1.7984375;1.2265625;1.16875;1.49375;1.003125
0.728125;1.046875;1.40625;1.59375;1.703125;1.821875;1.78125;1.5;1.190625;1.046875;1;0.875;0.703125;0.690625;0.890625;1.143125;1.1975;1.108125;1.19125;1.290625;8;1.6890625;0.8515625;1.290625;1.90625;1.890625;1.49375;1.040625;1.14375;1.0875;1.258125;1.226875;1.40375;1.425625;1.1125;1.034375;1.009375;1.428125;1.7375;1.171875;1.35625;1.2859375
0.375;0.53125;0.8125;1.03125;1.3125;1.625;1.625;1.3125;1.0625;1;1;1;0.96875;0.84375;0.75625;0.89375;1.15;1.318125;1.26375;1.12125;1.428125;1.50625;1.125;0.71875;0.8046875;1.7984375;1.2390625;1.4109375;2.09375;1.750625;0.969375;1.15625;1.5596875;1.6115625;1.33;0.934375;0.9875;1.05;1.365625;1.3509375;1.3259375;1.35625
1;1;1;1.025;1.125;1.25;1.25;1.125;1.025;1;1;1;1.065625;1.2625;1.39375;1.2;1.046875;1.1875;1.359375;1.39625;1.305;1.24625;1.7;1.09375;0.7953125;1.4734375;1.71875;2.2;2.1125;1.23;1.0175;1.221875;1.4940625;1.4521875;1.414375;1.328125;1.01875;0.909375;1.14375;1.4265625;1.1859375;1.04375
0.75;0.890625;0.984375;1;1.03125;1.18984375;1.4828125;1.66015625;1.53125;1.30078125;1.1703125;1.00234375;0.840625;1.003125;1.359375;1.53125;1.434375;1.13125;1.0825;1.2575;1.33;1.25875;1.4775;1.5671875;1.0359375;1.440625;1.7546875;1.809375;1.5875;1.371875;0.978125;1.0875;1.320625;1.370625;1.65875;1.808125;1.440625;0.99375;1.003125;1.153125;1.2375;1.046875
1.0125;1.075;1.1875;1.25;1.1875;1.0953125;1.134375;1.3203125;1.515625;1.6171875;1.559375;2.2390625;1.815625;0.575;0.625;0.96875;1.25625;1.31875;1.24375;1.046875;1.18375;1.199375;1.3625;1.14375;1.21875;0.8140625;0.8328125;1.4203125;1.3265625;1.7640625;2.7015625;2.176875;1.333125;1.171875;1.6065625;1.8646875;1.743125;1.2375;1.015625;0.9375;1.315625;1.2028125
1.096875;1.26875;1.540625;1.728125;1.640625;1.3546875;1.1125;1.015625;1.03125;1.203125;1.5625;1.859375;1.75;1.265625;0.815625;0.653125;0.746875;1.05625;1.140625;1.175;1.215625;1.42;1.14625;0.97875;1.35875;0.9375;0.8578125;1.1046875;1.4171875;2.2;2.0765625;1.55375;1.4225;1.209375;1.3096875;1.3165625;1.5725;1.659375;1.321875;0.884375;0.95625;1.121875
1.26328125;1.6284375;2.04515625;2.255;2.09140625;1.671875;1.27765625;1.0690625;1.0203125;1.075;1.21875;1.453125;1.703125;1.746875;1.465625;1.1703125;1.3171875;1.4109375;1.2171875;0.99375;1.0921875;1.3265625;1.484375;1.303125;0.96875;0.878125;0.7703125;0.878125;1.134375;1.621875;2.06875;2.140625;2.346875;1.9109375;1.1625;1.23125;1.7325;2.0528125;1.875;1.2265625;0.35;0
1.114375;1.37375;1.721875;1.91875;1.79375;1.405;0.97375;0.740625;0.771875;0.90625;0.996875;1.075;1.221875;1.465625;1.6125;1.43125;1.153125;1.0859375;1.425;1.50625;1.240625;0.884375;1.2903125;1.31125;1.54375;0.95625;1.09375;0.7859375;0.8078125;1.0921875;1.3265625;2.0140625;2.640625;2.2490625;2.0990625;1.171875;1.3115625;1.6090625;2.05875;1.7546875;1.4546875;0.7875
